epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.808,1.47434,3.22732,1.71144,0.33104,0.35716,0.27989,0.15543,1.65792,3.10653,2.02885,0.000415946,0.000415946,0.000415946
2,231.68,1.59894,2.45639,1.81557,0.37978,0.31485,0.29543,0.15088,1.76713,2.62885,2.13392,0.00082437,0.00082437,0.00082437
3,325.951,1.56859,2.33532,1.78336,0.41842,0.39302,0.35629,0.17285,1.7561,2.43782,2.1832,0.00122454,0.00122454,0.00122454
4,421.446,1.58222,2.30953,1.79561,0.42418,0.4379,0.40117,0.20857,1.74211,2.36401,2.14682,0.00121287,0.00121287,0.00121287
5,515.784,1.49835,2.16237,1.72092,0.56964,0.46289,0.48313,0.26274,1.60944,2.02615,2.00998,0.0012005,0.0012005,0.0012005
6,612.978,1.46012,2.04792,1.69054,0.55355,0.45344,0.45753,0.26138,1.52565,2.18729,1.91276,0.00118812,0.00118812,0.00118812
7,708.047,1.40583,1.96994,1.65805,0.56588,0.53622,0.547,0.32913,1.45799,1.99121,1.86651,0.00117575,0.00117575,0.00117575
8,806.17,1.38118,1.92053,1.64302,0.57543,0.5,0.52828,0.30671,1.51417,1.82708,1.91758,0.00116337,0.00116337,0.00116337
9,903.965,1.36897,1.8722,1.61887,0.71608,0.5277,0.5976,0.38405,1.39948,1.71245,1.77643,0.001151,0.001151,0.001151
10,999.959,1.34508,1.78823,1.59183,0.66039,0.54865,0.59341,0.38121,1.36724,1.68614,1.77472,0.00113863,0.00113863,0.00113863
11,1097.6,1.32943,1.75077,1.58493,0.71115,0.58595,0.64844,0.42474,1.31334,1.53328,1.69401,0.00112625,0.00112625,0.00112625
12,1194.93,1.31407,1.71742,1.58007,0.68466,0.61226,0.68142,0.44915,1.28935,1.41118,1.68635,0.00111388,0.00111388,0.00111388
13,1290.61,1.27783,1.65825,1.53841,0.72627,0.59161,0.65503,0.42736,1.3233,1.47908,1.67352,0.0011015,0.0011015,0.0011015
14,1387.07,1.28432,1.61858,1.53761,0.71308,0.61845,0.68252,0.45638,1.2542,1.37188,1.64679,0.00108913,0.00108913,0.00108913
15,1482.33,1.25633,1.58198,1.5237,0.71866,0.6363,0.69458,0.46599,1.24865,1.35814,1.64837,0.00107675,0.00107675,0.00107675
16,1578.88,1.2529,1.57571,1.51957,0.74507,0.62467,0.70381,0.47616,1.24814,1.3272,1.65214,0.00106437,0.00106437,0.00106437
17,1674.53,1.23631,1.53288,1.5143,0.79843,0.64343,0.73475,0.49758,1.20616,1.23434,1.6021,0.001052,0.001052,0.001052
18,1769.65,1.22708,1.51983,1.50196,0.74889,0.63261,0.7048,0.4746,1.26481,1.31029,1.64414,0.00103962,0.00103962,0.00103962
19,1866.1,1.21928,1.49387,1.48875,0.75903,0.645,0.7303,0.50604,1.19085,1.22444,1.57609,0.00102725,0.00102725,0.00102725
20,1964.42,1.2061,1.47834,1.48008,0.7576,0.65598,0.73589,0.50049,1.19126,1.25331,1.58445,0.00101488,0.00101488,0.00101488
21,2062.71,1.1929,1.45566,1.48056,0.75513,0.70273,0.74789,0.51636,1.16526,1.20227,1.56242,0.0010025,0.0010025,0.0010025
22,2163.98,1.19476,1.45108,1.47266,0.76418,0.6509,0.73435,0.5181,1.19163,1.20255,1.57856,0.000990125,0.000990125,0.000990125
23,2261.44,1.18427,1.42994,1.46319,0.78264,0.66778,0.75842,0.52703,1.16418,1.19481,1.54144,0.00097775,0.00097775,0.00097775
24,2354.57,1.18054,1.39882,1.45319,0.76432,0.7015,0.7622,0.5301,1.15775,1.12083,1.55259,0.000965375,0.000965375,0.000965375
25,2450.58,1.16251,1.38295,1.45624,0.81279,0.64958,0.76125,0.54085,1.1465,1.09005,1.52774,0.000953,0.000953,0.000953
26,2544.23,1.15814,1.35719,1.44935,0.81006,0.69482,0.78651,0.55303,1.12075,1.08002,1.47938,0.000940625,0.000940625,0.000940625
27,2639.46,1.15501,1.35049,1.43431,0.79736,0.69431,0.76381,0.54458,1.09871,1.10453,1.487,0.00092825,0.00092825,0.00092825
28,2732.91,1.14811,1.32751,1.42861,0.83473,0.67891,0.77633,0.54694,1.1503,1.05582,1.53197,0.000915875,0.000915875,0.000915875
29,2826.84,1.1355,1.30879,1.41992,0.84292,0.66797,0.77476,0.55706,1.10546,1.07194,1.50516,0.0009035,0.0009035,0.0009035
30,2919.54,1.14474,1.31386,1.42837,0.79456,0.702,0.78072,0.54202,1.13227,1.0863,1.50216,0.000891125,0.000891125,0.000891125
31,3014.48,1.12123,1.27021,1.4114,0.76955,0.70475,0.76942,0.5533,1.12677,1.04792,1.52112,0.00087875,0.00087875,0.00087875
32,3107.73,1.12658,1.2749,1.41519,0.84143,0.68482,0.78669,0.56808,1.12585,1.03313,1.50074,0.000866375,0.000866375,0.000866375
33,3204.03,1.10402,1.25864,1.4,0.82697,0.68937,0.78102,0.55362,1.12799,1.04743,1.52275,0.000854,0.000854,0.000854
34,3299,1.10728,1.24662,1.39826,0.80754,0.73305,0.79799,0.5748,1.08199,0.98973,1.4616,0.000841625,0.000841625,0.000841625
35,3395.02,1.08688,1.22302,1.38984,0.78348,0.73517,0.78812,0.56538,1.07313,1.01478,1.47391,0.00082925,0.00082925,0.00082925
36,3489.86,1.09879,1.2213,1.39805,0.78688,0.75573,0.80705,0.58283,1.09144,0.97074,1.47018,0.000816875,0.000816875,0.000816875
37,3586,1.08542,1.20194,1.38668,0.8093,0.72217,0.80956,0.59112,1.04341,0.98026,1.42557,0.0008045,0.0008045,0.0008045
38,3681.99,1.07084,1.18345,1.37292,0.84478,0.72815,0.81443,0.58424,1.07328,0.9554,1.47094,0.000792125,0.000792125,0.000792125
39,3777.39,1.06485,1.15756,1.36089,0.82927,0.74814,0.82216,0.5913,1.06766,0.93628,1.44751,0.00077975,0.00077975,0.00077975
40,3875.14,1.07104,1.17767,1.37114,0.80705,0.75546,0.82089,0.59559,1.05194,0.94707,1.42799,0.000767375,0.000767375,0.000767375
41,3970.86,1.06007,1.14642,1.36205,0.81039,0.76349,0.81306,0.5909,1.04458,0.95739,1.4387,0.000755,0.000755,0.000755
42,4066.6,1.06535,1.15359,1.36154,0.8254,0.72108,0.8104,0.59423,1.0428,0.93683,1.43712,0.000742625,0.000742625,0.000742625
43,4162.97,1.04896,1.12433,1.34774,0.79344,0.76908,0.81603,0.59706,1.04185,0.96709,1.42377,0.00073025,0.00073025,0.00073025
44,4261.9,1.05561,1.12673,1.35599,0.82251,0.75793,0.81001,0.58849,1.04571,0.93894,1.42152,0.000717875,0.000717875,0.000717875
45,4359.94,1.04041,1.10402,1.34426,0.82187,0.75232,0.81101,0.59444,1.04161,0.92528,1.42622,0.0007055,0.0007055,0.0007055
46,4458.56,1.03336,1.09171,1.34134,0.85714,0.75421,0.834,0.61416,1.01822,0.90074,1.40188,0.000693125,0.000693125,0.000693125
47,4555.46,1.03247,1.09226,1.34026,0.84635,0.76081,0.83284,0.6019,1.04281,0.88958,1.41432,0.00068075,0.00068075,0.00068075
48,4653.56,1.02143,1.07331,1.32963,0.84396,0.74303,0.82656,0.61061,1.03051,0.90152,1.40464,0.000668375,0.000668375,0.000668375
49,4750.28,1.01344,1.08081,1.32456,0.82963,0.75214,0.81954,0.60189,1.03744,0.89652,1.40589,0.000656,0.000656,0.000656
50,4844.44,1.02381,1.05666,1.32576,0.8512,0.74451,0.82886,0.61065,1.0398,0.86784,1.42104,0.000643625,0.000643625,0.000643625
51,4938.74,1.01595,1.06111,1.32921,0.83616,0.74124,0.8247,0.60826,1.02357,0.9077,1.38443,0.00063125,0.00063125,0.00063125
52,5031.81,1.01738,1.06057,1.32878,0.84994,0.75984,0.83262,0.61488,1.00904,0.87586,1.37969,0.000618875,0.000618875,0.000618875
53,5128.19,1.00986,1.04046,1.31641,0.83846,0.76533,0.83801,0.628,0.99112,0.85853,1.3554,0.0006065,0.0006065,0.0006065
54,5221.79,1.0034,1.03897,1.31918,0.8175,0.7743,0.83913,0.62112,1.01405,0.85886,1.38534,0.000594125,0.000594125,0.000594125
55,5319.84,1.00156,1.02732,1.31945,0.84891,0.76495,0.82764,0.60964,1.02979,0.85549,1.38722,0.00058175,0.00058175,0.00058175
56,5415.73,0.9827,1.0049,1.30408,0.87859,0.75303,0.83698,0.61419,1.00599,0.86805,1.37867,0.000569375,0.000569375,0.000569375
57,5514.65,0.99683,1.01343,1.3091,0.86285,0.76855,0.84621,0.62576,0.99562,0.84021,1.36448,0.000557,0.000557,0.000557
58,5612.57,0.98847,1.0025,1.30613,0.87159,0.76928,0.84379,0.62409,1.01904,0.81919,1.39733,0.000544625,0.000544625,0.000544625
59,5707.57,0.9818,0.98489,1.29617,0.85726,0.7647,0.83427,0.61863,0.99367,0.84819,1.37771,0.00053225,0.00053225,0.00053225
60,5803.44,0.9634,0.97412,1.28783,0.81601,0.80362,0.83954,0.62529,1.00942,0.84534,1.37467,0.000519875,0.000519875,0.000519875
61,5897.8,0.96195,0.97611,1.28855,0.84556,0.76462,0.83265,0.61967,0.98921,0.85926,1.34545,0.0005075,0.0005075,0.0005075
62,5993.45,0.97016,0.97895,1.29517,0.81772,0.80158,0.84194,0.62086,0.98952,0.81123,1.35561,0.000495125,0.000495125,0.000495125
63,6090.54,0.95857,0.96855,1.28171,0.87381,0.75376,0.84156,0.62255,0.9974,0.81729,1.35434,0.00048275,0.00048275,0.00048275
64,6184.38,0.94022,0.95424,1.27806,0.8373,0.78148,0.84187,0.62202,0.99311,0.80738,1.37268,0.000470375,0.000470375,0.000470375
65,6280.5,0.94233,0.92841,1.27554,0.84687,0.79276,0.84853,0.64425,0.96705,0.78449,1.33871,0.000458,0.000458,0.000458
66,6374.92,0.95191,0.92634,1.27185,0.88918,0.75681,0.84101,0.62898,0.98597,0.79672,1.35593,0.000445625,0.000445625,0.000445625
67,6470.03,0.94701,0.92949,1.27031,0.86681,0.79199,0.85361,0.64003,0.97514,0.77667,1.35452,0.00043325,0.00043325,0.00043325
68,6563.79,0.93278,0.91634,1.25739,0.83033,0.7972,0.84945,0.63966,0.96901,0.79536,1.35431,0.000420875,0.000420875,0.000420875
69,6660.42,0.93538,0.90368,1.26675,0.83747,0.79271,0.84341,0.62476,1.00796,0.80656,1.38699,0.0004085,0.0004085,0.0004085
70,6754.11,0.92627,0.89702,1.26351,0.86236,0.79369,0.85487,0.64117,0.98168,0.77322,1.36986,0.000396125,0.000396125,0.000396125
71,6849.35,0.9295,0.89261,1.26228,0.87293,0.77906,0.85931,0.6377,0.98096,0.79411,1.35644,0.00038375,0.00038375,0.00038375
72,6942.61,0.92147,0.87996,1.25455,0.84856,0.80484,0.85458,0.63483,0.99462,0.79276,1.37117,0.000371375,0.000371375,0.000371375
73,7038.16,0.92157,0.87752,1.25282,0.84447,0.81451,0.85303,0.63554,0.97553,0.76456,1.36131,0.000359,0.000359,0.000359
74,7130.76,0.91323,0.87887,1.2525,0.87539,0.76297,0.84903,0.63443,0.98612,0.77087,1.37556,0.000346625,0.000346625,0.000346625
75,7225.79,0.90462,0.86769,1.24318,0.87156,0.80519,0.85771,0.63727,0.98477,0.76546,1.36999,0.00033425,0.00033425,0.00033425
76,7320.11,0.90565,0.86278,1.2474,0.86963,0.79038,0.85392,0.63612,0.98905,0.74402,1.37245,0.000321875,0.000321875,0.000321875
77,7414.09,0.90502,0.85889,1.24669,0.87567,0.77984,0.85048,0.63832,1.01505,0.7589,1.38454,0.0003095,0.0003095,0.0003095
78,7507.03,0.90249,0.857,1.24027,0.87228,0.79026,0.85548,0.63449,0.99113,0.76855,1.36844,0.000297125,0.000297125,0.000297125
79,7601.7,0.89776,0.85517,1.24206,0.83863,0.81772,0.8612,0.63332,0.99556,0.78929,1.36684,0.00028475,0.00028475,0.00028475
80,7694.91,0.89628,0.83434,1.2373,0.87008,0.80757,0.84873,0.63986,0.98208,0.76782,1.34233,0.000272375,0.000272375,0.000272375
81,7790.13,0.88318,0.82688,1.23438,0.897,0.80658,0.86043,0.64407,0.98052,0.75838,1.35006,0.00026,0.00026,0.00026
82,7883.57,0.88167,0.82616,1.22287,0.87956,0.81188,0.85949,0.64237,0.99418,0.77169,1.35795,0.000247625,0.000247625,0.000247625
83,7978,0.87977,0.82474,1.23137,0.89719,0.79967,0.86256,0.64254,0.97943,0.75763,1.34546,0.00023525,0.00023525,0.00023525
84,8070.63,0.87468,0.80666,1.22354,0.87925,0.80527,0.86137,0.64866,0.96917,0.76251,1.34562,0.000222875,0.000222875,0.000222875
